Fecha;BUSY15_Index;BUSY510_Index;BUSY10_Index;EUR_CLP;USD_CLP;UF_CLP;RACLGOB_CLP_D1yM;RACLGOB_CLP_D2y3y;RACLGOB_CLP_D5yP;RACLGOB_UF_D1yM;RACLGOB_UF_D3y5y;RACLGOB_UF_D7yP;RACLBR_DC;RACLBR_DL;RACLLH_D1;RACLLH_D5;RACLLH_D9P;RACLCO_CLP_D1yM;RACLCO_UF_D1yM;RACLCO_UF_D2y4y;RACLCO_UF_D5yP;RACLGOB_CLP;RACLCO_CLP_AAC_D3y5y;RACLIF_UFDM3;RACLIF_CLPDM6;RACLIF_CLPD2;RACLIF_USD;RACLIF_CLP_P15d;RACLIF_CLP_P360d;RACLIF_UF_P15d;RACLIF_UF_P360d;UTILITIES;BANCA;COMMODITIES;CONST.&INMOB.;RETAIL;IPSA;SPX_Index;RACLGOB_UF_D5y7y;ICP_CLP;RACLGOB_PDBC;RACLIF_UF_P270d;RACLIF_UFD3P;RACLIF_UFD2;RACL;USD_CLP_Trade;RACLIF_DM3
2016-11-25;111,4450000000;132,8110000000;161,0200000000;715,3293918919;677,5600000000;26304,7700000000;1788,6267091339;1962,1645795117;2302,2364445138;2490,6580436224;3512,5170887174;5420,0959389636;3299,6047231033;4914,5162820969;3369,5621458492;4172,8216399378;3512,1583430284;2252,6158095035;3066,6547430763;4110,2314775410;5444,0467844877;2048,1926447619;1835,8838615391;2312,5389517960;2098,4603177449;2448,3803741308;1163,4780001376;1871,6898152489;2336,4318037597;2291,4377580760;2491,4675093422;4380,7710000000;7961,8430000000;3346,4870000000;5351,4000000000;5099,9930000000;4208,3050000000;2213,3500000000;4202,7207976211;17345,7700000000;1683,6367405452;2348,8915322306;3479,7731824964;2780,0863427693;3714,9235953730;678,0300000000;2091,0401753998
2016-11-24;111,4640000000;132,9270000000;160,8920000000;717,6333861595;679,2400000000;26303,0100000000;1788,5149167093;1963,5747125378;2306,6996410318;2489,3361495544;3516,3730046141;5430,7749366491;3298,9776890178;4912,3307855958;3368,9280845433;4166,9494266808;3515,8550565613;2252,3274131006;3066,2660125833;4109,9775451390;5450,8248715275;2050,7695984523;1836,1962726227;2312,5237661888;2098,3992283870;2448,4352196795;1166,4080046343;1871,4777168148;2336,3957513272;2291,1579029356;2493,6735968248;4351,2060000000;7941,1850000000;3313,9000000000;5395,8030000000;5071,1450000000;4193,7190000000;2204,7200000000;4206,9020176937;17344,0800000000;1683,3510397273;2349,8082222965;3489,2433744646;2779,3595907854;3717,6986319205;677,5600000000;2090,9071306528
2016-11-23;111,4590000000;132,9190000000;160,8770000000;716,5002124947;674,3700000000;26301,2600000000;1788,2894093586;1962,6289068744;2306,4065485476;2488,0766502516;3513,2415989000;5438,3424332387;3298,3467149820;4910,1121780668;3368,2821956411;4167,4286182306;3528,2966368163;2251,9141299211;3065,4979270158;4108,8945164489;5454,6256239472;2050,2243983334;1835,4255528509;2312,5288656520;2098,1711436050;2447,7920331520;1158,0254425994;1871,2741931891;2335,6407679141;2290,8823310163;2493,2234174995;4388,0930000000;7986,0160000000;3322,7750000000;5407,3410000000;5149,8130000000;4221,8860000000;2204,7200000000;4204,1698272306;17342,3900000000;1683,1377152874;2348,8829442406;3494,3486180807;2778,3880136281;3718,4492645962;679,2400000000;2090,7832282568
2016-11-22;111,6110000000;133,3010000000;161,2870000000;716,4421342951;675,3900000000;26299,5100000000;1788,1779257204;1963,7002383585;2310,7253894237;2487,8961134032;3515,4767329313;5455,9074727713;3297,7074681020;4907,8568850561;3370,2371343311;4167,6961361011;3530,0505987096;2251,6224346150;3064,6782295566;4107,6316333667;5462,1257426303;2052,4949959234;1835,3662734402;2312,4349130205;2098,1986769326;2447,5937083002;1159,7699515462;1871,0818173102;2335,5273893373;2290,6264630857;2493,1003258518;4344,2240000000;8002,2750000000;3340,6270000000;5366,9530000000;5157,6540000000;4216,6160000000;2202,9400000000;4207,5311345516;17340,7000000000;1683,0262819702;2348,2947392632;3500,1803144526;2778,6986006679;3721,7028462578;674,3700000000;2090,6287018206
2016-11-21;111,5710000000;133,1280000000;161,2560000000;718,4408431310;678,2800000000;26297,7600000000;1787,9524521650;1963,1471689477;2309,3709907313;2487,2849447605;3511,0985623039;5459,1642216577;3297,0660196812;4905,5928525629;3369,5738882818;4159,4721347877;3528,5924232712;2251,3863620449;3063,2029989188;4105,3474771795;5460,0250738658;2051,2479602029;1835,2712356240;2312,2787328509;2098,1296400422;2447,2827069215;1164,7590960610;1870,8789691424;2336,0930738030;2290,3520877537;2491,3486240966;4361,1110000000;8013,1420000000;3357,2660000000;5423,9410000000;5158,0000000000;4224,8470000000;2198,1800000000;4203,4758713956;17339,0100000000;1682,9216515371;2347,7017761536;3498,7582806017;2777,5067739305;3720,7110587602;675,3900000000;2090,4248078449
2016-11-18;111,6010000000;133,1550000000;161,1660000000;718,6487638534;674,3800000000;26292,5100000000;1787,5531659150;1962,6811819437;2316,5734696548;2486,5855966487;3514,7263516673;5463,6584035020;3296,0745339142;4902,9330992172;3368,4643372181;4160,1002111288;3529,3079183478;2250,4231363338;3063,8183188243;4103,0145639971;5463,0600225350;2054,9216819825;1836,0542678765;2310,9068196311;2097,3313748287;2447,1216248191;1158,0014742753;1870,2933683356;2335,1920615767;2289,5570235659;2493,3603187389;4349,9700000000;7945,3540000000;3320,0750000000;5426,0630000000;5065,7070000000;4185,7840000000;2181,9000000000;4206,3818251112;17333,9500000000;1682,4005651994;2348,5795233830;3503,7627809698;2777,9301460580;3722,1472277307;678,2800000000;2089,5898850446
2016-11-17;111,7370000000;133,6960000000;161,9880000000;723,3675872404;675,7700000000;26290,7500000000;1787,1994310938;1962,7165340121;2320,9719969411;2485,2040931362;3514,8770532577;5479,5387964508;3295,4444651011;4900,7914690278;3367,6225224942;4159,4235095928;3501,4379791226;2250,0795516664;3063,3800289863;4100,7116833330;5460,0513235361;2057,2440598166;1835,8818112400;2310,1940766209;2097,1662849453;2446,7780894462;1160,3072984745;1870,1542473980;2335,3188977291;2289,5219215253;2494,3993389878;4328,7090000000;7925,3500000000;3320,2290000000;5409,7180000000;5077,4750000000;4182,6050000000;2187,1200000000;4203,4555565090;17332,2600000000;1682,2941862941;2350,0653694407;3502,8625824894;2776,0882466882;3723,1676089484;674,3800000000;2089,3380532577
2016-11-16;111,8110000000;134,1000000000;163,6890000000;717,1973839391;668,9300000000;26289,0000000000;1787,3295156346;1961,6344609630;2319,6336407135;2485,3209761365;3511,7539082017;5448,6344166392;3294,8091864330;4898,6520910129;3367,9367678603;4164,3569489609;3497,0962942794;2249,7836025307;3063,6925685640;4098,2870634259;5450,6781868809;2056,4280071601;1836,0071182446;2309,7953071010;2096,9524208009;2448,7342002896;1148,5034097334;1869,9336668195;2335,0492423506;2289,2359294994;2491,6318820926;4326,6270000000;7857,6740000000;3325,3740000000;5421,1310000000;5076,1580000000;4184,9920000000;2176,9400000000;4199,3284900676;17330,5800000000;1682,0257281773;2348,2123851569;3492,6771711512;2778,4920961426;3718,4586163172;675,7700000000;2089,1626872721
2016-11-15;111,8010000000;134,0490000000;162,4650000000;717,6653780069;668,2900000000;26287,2500000000;1787,2176744941;1962,5782914040;2315,8084934554;2483,7180541975;3502,1582795118;5425,6588667965;3294,1714771116;4896,5174951137;3367,1851234131;4147,7983395726;3494,1754887603;2250,0561370420;3063,3497917736;4093,5308844882;5452,1890953480;2055,0504951958;1835,1698983942;2310,3427665291;2096,7951367503;2449,6739665302;1147,3986884643;1869,7662539695;2336,1069920937;2289,0150204787;2493,1131562830;4299,6080000000;7832,0610000000;3261,3250000000;5355,5450000000;5066,8930000000;4153,0430000000;2180,3900000000;4188,7369742461;17328,9000000000;1681,8487213814;2348,2438308299;3487,4275593002;2778,5400227743;3715,6373343382;668,9300000000;2089,1610839512
2016-11-14;111,8740000000;134,2640000000;162,3950000000;718,6369054069;663,2300000000;26285,5000000000;1786,9778753891;1959,2196807984;2284,9259257196;2484,4936362418;3483,1255666577;5374,9802007735;3293,5279296861;4894,3867816944;3366,7726060249;4146,9278893974;3492,3816771157;2249,7557660032;3065,9521722922;4097,0492141292;5453,5464989617;2039,8269316539;1841,3957579066;2309,8977446689;2096,8082293417;2446,4175121066;1138,7254056569;1869,5668251462;2336,0683953733;2288,7549097942;2487,2676497449;4236,4060000000;7750,4550000000;3229,2390000000;5334,1290000000;4993,4320000000;4105,5370000000;2164,2000000000;4176,8846060254;17327,2200000000;1681,7708418864;2347,6641603208;3481,3085184172;2776,1109316607;3707,5096447471;668,2900000000;2088,9447712578
2016-11-11;112,1830000000;135,2430000000;164,4270000000;714,5998911268;656,3600000000;26280,2500000000;1786,7067281218;1963,7809923994;2324,2371879517;2485,1586407674;3511,9519112883;5514,6953630177;3292,5217867057;4891,6888066788;3366,8081975089;4162,8062817794;3512,6261864884;2248,8796844198;3065,8497748532;4119,5074183026;5531,6579648218;2059,9581041140;1850,6590969554;2309,1782105634;2096,4463293368;2449,2646814271;1126,8241189737;1868,9982423821;2335,9373563849;2288,0109010017;2488,1326494339;4312,3600000000;7739,4700000000;3260,9270000000;5467,1880000000;5062,2810000000;4144,7370000000;2164,4500000000;4230,2142756313;17322,1700000000;1681,2749096487;2348,6182560299;3541,5939674552;2780,7358868596;3739,9102449069;663,2300000000;2088,2886773219
2016-11-10;112,1780000000;135,2360000000;164,4130000000;711,6540942386;650,9500000000;26278,5000000000;1786,8364853072;1968,6723474148;2345,8451290852;2486,2604463344;3526,9415056778;5567,2068151876;3291,8897486708;4889,5493430838;3366,8825955560;4169,7084806848;3523,0954932311;2245,2223936614;3066,7631851758;4135,0570379626;5564,0034747148;2070,9182816793;1855,2888475823;2310,7584869919;2096,0786521679;2451,4047562607;1117,5179032234;1868,8134913378;2335,3573159491;2287,7687318501;2491,5586383732;4396,6430000000;7854,4900000000;3343,6590000000;5458,1500000000;5116,9570000000;4216,4530000000;2167,4800000000;4250,0177256173;17320,4900000000;1681,1774267057;2352,4547101033;3567,2158500797;2781,3966243995;3754,6423998710;656,3600000000;2088,2862604774
2016-11-09;112,3010000000;135,7600000000;165,7490000000;717,7870839762;651,3200000000;26276,7500000000;1786,9661536897;1975,1943496705;2379,6155998194;2486,5754463201;3545,0349272555;5636,3813250013;3291,2483347384;4887,3757745024;3367,5715401384;4175,9213759681;3533,6753571772;2245,0117122895;3067,7817383229;4140,7755734574;5600,1621714650;2087,9272407258;1859,0232641578;2312,0383666423;2095,7828634615;2454,8541562180;1118,0978601277;1868,6087013970;2334,4909650473;2287,5425722472;2496,6743681162;4516,0300000000;7967,4070000000;3392,9350000000;5496,9010000000;5264,4980000000;4297,0910000000;2163,2600000000;4269,3543555061;17318,8100000000;1680,9315485653;2356,6214930420;3594,2105608788;2784,7612063477;3772,1882765514;650,9500000000;2088,2949749831
2016-11-08;112,5920000000;137,3920000000;172,9000000000;722,2639011474;654,6600000000;26275,0600000000;1786,7407420128;1974,8023256040;2383,5060307146;2487,5064354198;3553,2661100871;5656,5327057429;3290,6124209854;4885,2202838418;3368,3032309916;4177,4069485236;3538,4679877148;2236,7872734248;3068,6429683150;4144,4060592932;5610,8052881101;2089,4347907726;1859,1466365964;2313,5092675163;2095,2736430773;2455,7402714951;1123,8242398428;1868,4036770781;2332,9727473409;2287,2954519462;2498,8311163782;4546,8470000000;7951,4960000000;3360,4560000000;5562,0370000000;5306,2510000000;4302,8520000000;2139,5600000000;4278,8549689924;17317,1300000000;1680,7695253564;2358,9238409592;3609,4490881811;2792,2628813358;3776,5543363139;651,3200000000;2088,3179994581
2016-11-07;112,7260000000;137,7500000000;173,6440000000;728,0377987771;654,8700000000;26273,3600000000;1786,5006532170;1973,6198889150;2380,0667762460;2491,0688300321;3556,8363990904;5646,2918257386;3284,1155154891;4874,9272368810;3369,8189529337;4181,9608080601;3534,1001104468;2221,1216437453;3070,1666501806;4146,8095360600;5603,9005500813;2087,2072001256;1858,0655880994;2314,2680802978;2095,1920658915;2455,2797032615;1124,1587442440;1868,2371152646;2332,7994838358;2287,4895048941;2498,9475451827;4513,5190000000;7864,7710000000;3293,0840000000;5621,5490000000;5239,8270000000;4247,6320000000;2131,5200000000;4275,2346512753;17315,4500000000;1680,7132440118;2358,9580413583;3595,6071568960;2789,8337886403;3774,2020575185;654,6600000000;2088,2908295684
